Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N5,Sample N5,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.0093
Sample N5,Sample N5,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,0.0046
Sample N5,Sample N5,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,PAC002735_g,0.0371
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,AB270144_g,0.1829
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,EU842575_g,0.1089
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,GU174038_g,0.1969
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,HM008751_g,4.0596000000000005
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002482_g,0.0346
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002801_g,1.4358
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AM982614_f,AM982614_g,0.0602
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AY244965_f,AY244965_g,0.2455
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Anaerocella_f,Anaerocella,0.1204
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,5-7N15_g,0.0647
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,BF311_g,0.6970000000000001
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.1875
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,EU464174_g,0.044
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,EU465631_g,0.0185
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,EU475549_g,0.0093
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,0.0346
Sample N5,Sample N5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,0.0069
