Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N2,Sample N2,Bacteria,Actinobacteria,Actinomycetia,Cellulomonadales,Jonesiaceae,DQ824577_g,0.0211
Sample N2,Sample N2,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,0.0599
Sample N2,Sample N2,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,DQ824660_g,0.0259
Sample N2,Sample N2,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Raoultibacter,0.0275
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,EU771129_g,0.3012
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,GU174038_g,0.1701
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002801_g,1.9455
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002908_g,0.1069
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,BF311_g,0.3694
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,0.0032
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,EF148839_f,AB185635_g,0.0777
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Lentimicrobiaceae,EU462208_g,0.0454
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,CP045696_g,0.10200000000000001
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,EU463196_g,0.0907
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC001421_g,0.0097
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC002787_g,0.2349
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC002859_g,0.0194
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.1085
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU466036_g,0.1782
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,GU303877_g,0.0243
Sample N2,Sample N2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,PAC002928_g,0.1199
Sample N2,Sample N2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Edaphocola,0.21869999999999998
Sample N2,Sample N2,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Spirosomaceae,Leadbetterella,0.10529999999999999
Sample N2,Sample N2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,JN873202_g,0.07289999999999999
Sample N2,Sample N2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kaistella,0.0113
Sample N2,Sample N2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,0.6432
Sample N2,Sample N2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,0.08739999999999999
Sample N2,Sample N2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Faecalibacter,1.8322
Sample N2,Sample N2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Moheibacter,0.0113
Sample N2,Sample N2,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,0.9201999999999999
Sample N2,Sample N2,Bacteria,Chloroflexi,Anaerolineae,Anaerolinaeles,Anaerolinaceae,Flexilinea,0.0211
Sample N2,Sample N2,Bacteria,Cyanobacteria,Vampirovibrio_c,FR888536_o,FR888536_f,FR888536_g,0.2412
Sample N2,Sample N2,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,0.0518
Sample N2,Sample N2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,7.0908
Sample N2,Sample N2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Unassigned,29.1942
Sample N2,Sample N2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,2.1997999999999998
Sample N2,Sample N2,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Unassigned,0.8019
Sample N2,Sample N2,Bacteria,Firmicutes,Bacilli,Bacillales,Unassigned,Unassigned,5.7203
