Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N7,Sample N7,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,0.0848
Sample N7,Sample N7,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Raoultibacter,0.0806
Sample N7,Sample N7,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,0.0339
Sample N7,Sample N7,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,PAC002999_g,0.017
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,GU174038_g,0.13140000000000002
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,HM008751_g,0.6106
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002801_g,2.9214
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,EU463196_g,0.089
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC001421_g,0.0933
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,2.3277
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU463395_g,0.15689999999999998
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU794251_g,0.2078
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,GU303877_g,0.0721
Sample N7,Sample N7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,PAC002928_g,0.2459
Sample N7,Sample N7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,0.0085
Sample N7,Sample N7,Bacteria,Cyanobacteria,PAC002560_c,PAC000393_o,GU174155_f,GU174155_g,0.017
Sample N7,Sample N7,Bacteria,Cyanobacteria,Vampirovibrio_c,FR888536_o,FR888536_f,FR888536_g,0.0297
Sample N7,Sample N7,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,0.0085
Sample N7,Sample N7,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,0.1187
Sample N7,Sample N7,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,0.0254
Sample N7,Sample N7,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,AY442821_g,0.0297
Sample N7,Sample N7,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001115_g,0.0466
Sample N7,Sample N7,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001207_g,1.5137
Sample N7,Sample N7,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001437_g,0.971
