Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N1,Sample N1,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Unassigned,0.0052
Sample N1,Sample N1,Bacteria,Actinobacteria,Actinomycetia,Mycobacteriales,Corynebacteriaceae,Corynebacterium,0.1134
Sample N1,Sample N1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,DQ824660_g,0.038599999999999995
Sample N1,Sample N1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,EU471836_g,0.0103
Sample N1,Sample N1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Raoultibacter,0.0644
Sample N1,Sample N1,Bacteria,Armatimonadetes,EU266864_c,EU266864_o,EU266864_f,EU266864_g,0.0825
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,EU771129_g,0.6056
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,GU174038_g,0.3917
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC001134_g,0.0283
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002801_g,0.7988
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002908_g,0.25780000000000003
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,BF311_g,0.1185
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,1.4327
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,EF148839_f,AB185635_g,0.0103
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,EU463196_g,1.8115
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,0.0077
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,AB239491_g,0.5591999999999999
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,1.443
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC001421_g,3.6462999999999997
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC002787_g,0.1623
Sample N1,Sample N1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,1.1905000000000001
