Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N4,Sample N4,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,DQ824660_g,0.0104
Sample N4,Sample N4,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,EU471836_g,0.0052
Sample N4,Sample N4,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Raoultibacter,0.0416
Sample N4,Sample N4,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,PAC002999_g,0.0035
Sample N4,Sample N4,Bacteria,Armatimonadetes,EU266864_c,EU266864_o,EU266864_f,EU266864_g,0.0139
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,EU771129_g,1.5763
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,GU174038_g,0.41219999999999996
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC001134_g,0.0087
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002801_g,2.4682999999999997
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002908_g,0.2702
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,Unassigned,0.0606
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,BF311_g,5.8149
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,EF148839_f,AB185635_g,2.8494
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Lentimicrobiaceae,EU462208_g,0.6807
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,EU463196_g,6.506
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,AB239491_g,0.9908
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,0.7015
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC001421_g,0.18359999999999999
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC002787_g,3.4678000000000004
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.5682
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU465965_g,0.2668
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,GU303877_g,1.0497
Sample N4,Sample N4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,PAC002928_g,0.5179
Sample N4,Sample N4,Bacteria,Cyanobacteria,PAC002560_c,PAC000393_o,GU174155_f,GU174155_g,0.0381
Sample N4,Sample N4,Bacteria,Cyanobacteria,Vampirovibrio_c,FR888536_o,FR888536_f,FR888536_g,0.9459
Sample N4,Sample N4,Bacteria,EU844128_p,EU844128_c,EU844128_o,EU844128_f,EU844128_g,0.0035
Sample N4,Sample N4,Bacteria,Elusimicrobia,Elusimicrobia_c,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,0.0831
Sample N4,Sample N4,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,0.44
Sample N4,Sample N4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,0.0035
Sample N4,Sample N4,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,AY442821_g,0.10389999999999999
Sample N4,Sample N4,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,0.0364
Sample N4,Sample N4,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,FJ848448_g,0.0052
